date,datetime,SACTMIN,SPOSTMIN,weekday,day_name
2017-07-12,2017-07-12 20:08:44,108.0,,3,Wednesday
2017-07-12,2017-07-12 23:00:49,34.0,,3,Wednesday
2017-07-14,2017-07-14 10:15:24,90.0,,5,Friday
2017-07-14,2017-07-14 20:54:20,92.0,,5,Friday
2017-07-15,2017-07-15 08:09:48,42.0,,6,Saturday
2017-07-15,2017-07-15 22:16:16,106.0,,6,Saturday
2017-07-16,2017-07-16 15:28:14,97.0,,7,Sunday
2017-07-16,2017-07-16 20:54:25,84.0,,7,Sunday
2017-07-16,2017-07-16 21:20:56,58.0,,7,Sunday
2017-07-16,2017-07-16 21:44:55,66.0,,7,Sunday
2017-07-17,2017-07-17 08:00:15,24.0,,1,Monday
2017-07-18,2017-07-18 22:45:00,86.0,,2,Tuesday
2017-07-19,2017-07-19 08:47:51,21.0,,3,Wednesday
2017-07-19,2017-07-19 09:07:44,86.0,,3,Wednesday
2017-07-20,2017-07-19 22:30:26,69.0,,4,Thursday
2017-07-20,2017-07-20 09:27:58,248.0,,4,Thursday
2017-07-21,2017-07-21 09:13:39,86.0,,5,Friday
2017-07-21,2017-07-21 22:27:34,83.0,,5,Friday
2017-07-21,2017-07-21 22:34:14,89.0,,5,Friday
2017-07-22,2017-07-22 07:59:23,6.0,,6,Saturday
2017-07-22,2017-07-22 08:07:57,24.0,,6,Saturday
2017-07-22,2017-07-22 17:58:00,120.0,,6,Saturday
2017-07-23,2017-07-23 17:41:20,8.0,,7,Sunday
2017-07-23,2017-07-23 21:04:42,63.0,,7,Sunday
2017-07-24,2017-07-24 09:04:08,96.0,,1,Monday
2017-07-24,2017-07-24 12:22:00,148.0,,1,Monday
2017-07-24,2017-07-24 13:42:56,96.0,,1,Monday
2017-07-25,2017-07-24 23:32:44,81.0,,2,Tuesday
2017-07-25,2017-07-25 08:59:21,80.0,,2,Tuesday
2017-07-25,2017-07-25 12:44:42,246.0,,2,Tuesday
2017-07-25,2017-07-25 21:54:49,99.0,,2,Tuesday
2017-07-25,2017-07-25 22:11:25,97.0,,2,Tuesday
2017-07-26,2017-07-25 22:07:22,98.0,,3,Wednesday
