date,datetime,SACTMIN,SPOSTMIN,weekday,day_name
2017-09-24,2017-09-24 09:01:59,9.0,,7,Sunday
2017-09-24,2017-09-24 09:25:26,48.0,,7,Sunday
2017-09-24,2017-09-24 18:55:39,57.0,,7,Sunday
2017-09-24,2017-09-24 19:24:07,50.0,,7,Sunday
2017-09-24,2017-09-24 20:53:51,22.0,,7,Sunday
2017-09-25,2017-09-25 08:15:50,12.0,,1,Monday
2017-09-25,2017-09-25 08:23:55,22.0,,1,Monday
2017-09-25,2017-09-25 08:39:38,16.0,,1,Monday
2017-09-25,2017-09-25 08:48:59,11.0,,1,Monday
2017-09-25,2017-09-25 09:02:10,29.0,,1,Monday
2017-09-25,2017-09-25 19:29:11,42.0,,1,Monday
2017-09-25,2017-09-25 19:57:36,25.0,,1,Monday
2017-09-26,2017-09-26 09:40:30,51.0,,2,Tuesday
2017-09-26,2017-09-26 15:13:43,68.0,,2,Tuesday
2017-09-27,2017-09-27 09:25:08,21.0,,3,Wednesday
2017-09-28,2017-09-28 08:57:09,3.0,,4,Thursday
2017-09-30,2017-09-30 11:36:09,27.0,,6,Saturday
2017-09-30,2017-09-30 13:44:27,140.0,,6,Saturday
2017-09-30,2017-09-30 15:24:12,116.0,,6,Saturday
2017-09-30,2017-09-30 17:45:30,82.0,,6,Saturday
2017-10-01,2017-10-01 09:23:58,36.0,,7,Sunday
2017-10-01,2017-10-01 18:53:35,70.0,,7,Sunday
2017-10-02,2017-10-02 08:25:35,13.0,,1,Monday
2017-10-02,2017-10-02 08:42:27,10.0,,1,Monday
2017-10-02,2017-10-02 09:00:01,28.0,,1,Monday
2017-10-02,2017-10-02 09:05:52,31.0,,1,Monday
2017-10-02,2017-10-02 14:48:55,105.0,,1,Monday
2017-10-03,2017-10-03 09:19:14,21.0,,2,Tuesday
2017-10-03,2017-10-03 09:26:08,26.0,,2,Tuesday
2017-10-03,2017-10-03 09:55:23,53.0,,2,Tuesday
2017-10-03,2017-10-03 09:59:41,57.0,,2,Tuesday
2017-10-04,2017-10-04 09:07:53,23.0,,3,Wednesday
2017-10-05,2017-10-05 09:35:28,23.0,,4,Thursday
2017-10-05,2017-10-05 09:39:45,31.0,,4,Thursday
2017-10-05,2017-10-05 10:04:04,51.0,,4,Thursday
2017-10-05,2017-10-05 10:04:54,51.0,,4,Thursday
2017-10-06,2017-10-06 09:55:11,24.0,,5,Friday
2017-10-06,2017-10-06 10:00:37,48.0,,5,Friday
2017-10-07,2017-10-07 08:29:34,25.0,,6,Saturday
